yem, 0.749999990066
lso, None
uga, None
tkm, None
alb, None
ita, None
tto, None
nld, None
tcd, None
mne, None
mng, None
bfa, None
nga, None
zmb, None
gmb, None
hrv, None
gtm, None
lka, None
aus, None
jam, None
aut, None
dji, None
vct, None
mwi, None
fin, None
moz, None
bih, None
cpv, None
tjk, None
lca, None
geo, None
nor, None
mhl, None
guf, None
zwe, None
gbr, None
guy, None
cri, None
cmr, None
mda, None
mdg, None
hti, None
deu, None
lao, None
are, None
chn, 1.10000000397
arg, None
sen, None
btn, None
mdv, None
arm, None
grd, None
est, None
mus, None
blz, None
lux, None
irq, None
phl, 0.62857143368
bdi, None
smr, None
per, None
blr, None
irl, None
sur, None
irn, None
kir, None
lva, None
ner, None
civ, None
plw, None
ken, None
jor, 1.10000000149
rum, None
tur, None
omn, None
tuv, None
mmr, None
bwa, None
ecu, None
tun, 1.03333333383
rus, 0.699999988079
mex, None
asm, None
tls, None
atg, None
bgd, None
ltu, None
isr, 0.97500000149
eri, None
idn, None
bgr, None
bol, None
cod, None
isl, None
eth, 1.30000000075
com, None
col, None
ago, None
zaf, None
sgp, None
som, None
uzb, None
brn, None
pol, None
kwt, 0.660000002384
tgo, None
bra, None
fra, None
mkd, None
che, None
usa, None
jpn, None
swe, None
ukr, None
dnk, None
swz, None
ton, None
kor, 0.73333332936
vat, None
cub, None
mco, None
dza, 1.5
cyp, None
hun, None
kgz, None
fji, None
ven, None
sdn, 1.10000000149
gab, None
png, None
hnd, None
ben, None
bel, None
slv, None
mli, None
aze, None
gnb, None
stp, None
can, None
mlt, None
sle, None
caf, None
slb, None
nzl, None
and, None
lbr, None
rwa, None
lby, 1.06666666766
mys, 0.949999999255
tza, None
prt, None
khm, None
ind, 1.10000000149
bhs, None
bhr, None
pry, None
sau, 0.899999996026
cze, None
qat, 1.30000001192
afg, None
vut, None
nam, None
xkx, None
nru, None
grc, None
twn, 1.0
pak, None
srb, None
pan, None
syc, None
npl, None
mar, 0.974999999627
lbn, 1.0
lie, None
nic, None
vnm, None
syr, None
kaz, None
svn, None
egy, 1.16666666667
svk, None
dom, None
mrt, None
esp, None
fsm, None
kna, None
gha, None
chl, None
ury, None
tha, None
