iso3, SENTIMENT
YEM, 0.859999996424
LSO, None
UGA, None
TKM, None
ALB, None
ITA, None
TTO, None
NLD, None
TCD, None
MNE, None
MNG, None
BFA, None
NGA, None
ZMB, None
GMB, None
HRV, None
GTM, None
LKA, None
AUS, 0.816666665177
JAM, None
AUT, None
DJI, None
VCT, None
MWI, None
FIN, None
MOZ, None
BIH, None
CPV, None
TJK, None
LCA, None
GEO, None
NOR, None
MHL, None
GUF, None
ZWE, None
GBR, 1.28666666945
GUY, None
CRI, None
CMR, None
MDA, None
MDG, None
HTI, None
DEU, 0.912499999627
LAO, None
ARE, None
CHN, 1.09166666824
ARG, 1.20000000298
SEN, None
BTN, None
MDV, None
ARM, 0.992857143815
GRD, None
EST, None
MUS, None
BLZ, None
LUX, None
IRQ, 1.0200000003
PHL, 0.54285714456
BDI, None
SMR, None
PER, 0.6666666617
BLR, None
IRL, None
SUR, None
IRN, 1.03333333489
KIR, None
LVA, None
NER, None
CIV, None
PLW, None
KEN, None
JOR, None
RUM, None
TUR, 0.583333328366
OMN, 0.79999999702
TUV, None
MMR, None
BWA, None
ECU, 0.89999999851
TUN, None
RUS, 0.864705876392
MEX, 1.33333333458
ASM, None
TLS, None
ATG, None
BGD, None
LTU, None
ISR, 0.538461535596
ERI, None
IDN, None
BGR, None
BOL, 1.05000000075
COD, None
ISL, None
ETH, 1.5
COM, None
COL, 1.06666666766
AGO, None
ZAF, 1.05000000075
SGP, None
SOM, None
UZB, None
BRN, None
POL, None
KWT, 0.15000000596
TGO, None
BRA, 1.20000000298
FRA, 1.0
MKD, None
CHE, None
USA, 1.0057017549
JPN, 1.16666667101
SWE, None
UKR, None
DNK, None
SWZ, None
TON, None
KOR, 1.00555555729
VAT, None
CUB, 1.07142857489
MCO, None
DZA, None
CYP, None
HUN, 0.8
KGZ, None
FJI, None
VEN, 1.31250000745
SDN, None
GAB, None
PNG, None
HND, None
BEN, None
BEL, 0.700000006706
SLV, 1.35000000149
MLI, None
AZE, None
GNB, None
STP, None
CAN, None
MLT, None
SLE, None
CAF, None
SLB, None
NZL, None
AND, None
LBR, None
RWA, None
LBY, None
MYS, 0.944444441961
TZA, None
PRT, None
KHM, None
IND, 0.658333329484
BHS, None
BHR, None
PRY, 1.20000000298
SAU, 1.11200000376
CZE, None
QAT, 0.566666662693
AFG, None
VUT, None
NAM, None
XKX, None
NRU, None
GRC, 0.599999995902
TWN, 1.07500000298
PAK, None
SRB, None
PAN, 0.300000011921
SYC, None
NPL, None
MAR, 1.10000000149
LBN, None
LIE, None
NIC, 0.837499995716
VNM, 1.30000001192
SYR, 1.00930232745
KAZ, None
SVN, None
EGY, 1.16666666667
SVK, None
DOM, None
MRT, None
ESP, None
FSM, None
KNA, None
GHA, None
CHL, 1.20000000298
URY, None
THA, None
